State,District,Market,Commodity,Date,Arrival_Quantity,Arrival_Unit,Modal_Price,Price_Unit
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,02-01-2024,2284,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,03-01-2024,1520,Metric Tonnes,6921,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,04-01-2024,1998,Metric Tonnes,6979,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,05-01-2024,2176,Metric Tonnes,6989,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,06-01-2024,1932,Metric Tonnes,6981,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,08-01-2024,3262,Metric Tonnes,6998,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,09-01-2024,2944,Metric Tonnes,6981,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,10-01-2024,1859,Metric Tonnes,6959,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,12-01-2024,1912,Metric Tonnes,6889,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,13-01-2024,1316,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,17-01-2024,1978,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,18-01-2024,2350,Metric Tonnes,6899,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,19-01-2024,3736,Metric Tonnes,6989,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,20-01-2024,2133,Metric Tonnes,6849,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,23-01-2024,4850,Metric Tonnes,6969,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,24-01-2024,2282,Metric Tonnes,6939,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,25-01-2024,2713,Metric Tonnes,6981,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,27-01-2024,2702,Metric Tonnes,6889,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,29-01-2024,2470,Metric Tonnes,6911,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,30-01-2024,1930,Metric Tonnes,6759,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,31-01-2024,1954,Metric Tonnes,6779,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,01-02-2024,1447,Metric Tonnes,6759,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,02-02-2024,1847,Metric Tonnes,6769,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,03-02-2024,1176,Metric Tonnes,6780,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,05-02-2024,2517,Metric Tonnes,6769,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,06-02-2024,1741,Metric Tonnes,6759,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,07-02-2024,1127,Metric Tonnes,6789,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,08-02-2024,1405,Metric Tonnes,6759,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,10-02-2024,1414,Metric Tonnes,6869,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,12-02-2024,1951,Metric Tonnes,6899,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,13-02-2024,1826,Metric Tonnes,6889,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,14-02-2024,1086,Metric Tonnes,6889,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,15-02-2024,1218,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,16-02-2024,1461,Metric Tonnes,7180,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,17-02-2024,1140,Metric Tonnes,7179,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,19-02-2024,1618,Metric Tonnes,7001,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,20-02-2024,1082,Metric Tonnes,6969,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,21-02-2024,1042,Metric Tonnes,6765,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,22-02-2024,1047,Metric Tonnes,7280,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,23-02-2024,845,Metric Tonnes,6900,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,24-02-2024,601,Metric Tonnes,6880,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,26-02-2024,1310,Metric Tonnes,7000,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,27-02-2024,1391,Metric Tonnes,7199,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,28-02-2024,1085,Metric Tonnes,7459,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,29-02-2024,678,Metric Tonnes,7411,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,01-03-2024,737,Metric Tonnes,7459,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,02-03-2024,563,Metric Tonnes,7261,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,04-03-2024,1385,Metric Tonnes,7389,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,05-03-2024,1550,Metric Tonnes,7209,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,06-03-2024,1092,Metric Tonnes,7569,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,07-03-2024,1026,Metric Tonnes,7469,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,12-03-2024,816,Metric Tonnes,7569,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,13-03-2024,1048,Metric Tonnes,7559,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,14-03-2024,1105,Metric Tonnes,7659,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,15-03-2024,1163,Metric Tonnes,7749,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,16-03-2024,855,Metric Tonnes,7589,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,18-03-2024,1607,Metric Tonnes,7569,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,19-03-2024,2133,Metric Tonnes,7569,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,20-03-2024,1508,Metric Tonnes,7460,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,21-03-2024,1363,Metric Tonnes,7489,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,26-03-2024,1257,Metric Tonnes,7569,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,27-03-2024,1125,Metric Tonnes,7506,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,28-03-2024,803,Metric Tonnes,7459,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,30-03-2024,920,Metric Tonnes,7481,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,01-04-2024,1200,Metric Tonnes,7569,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,03-04-2024,1248,Metric Tonnes,7475,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,04-04-2024,1057,Metric Tonnes,7711,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,06-04-2024,1251,Metric Tonnes,7489,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,12-04-2024,1171,Metric Tonnes,7519,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,16-04-2024,1352,Metric Tonnes,7269,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,19-04-2024,609,Metric Tonnes,7389,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,20-04-2024,481,Metric Tonnes,7369,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,22-04-2024,423,Metric Tonnes,7416,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,25-04-2024,785,Metric Tonnes,7231,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,26-04-2024,426,Metric Tonnes,7429,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,27-04-2024,407,Metric Tonnes,7419,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,29-04-2024,1043,Metric Tonnes,7426,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,30-04-2024,724,Metric Tonnes,7449,Rs./Quintal
Andhra Pradesh,Kurnool,Adoni APMC,Cotton,02-05-2024,951,Metric Tonnes,7269,Rs./Quintal
